ID;Nombre de la Técnica;Categoría;Tipo;Estado Inicial (Notación);Estado Final Exitoso (Notación);Estado Final Fallido (Notación);Tiempo (s);Costo de Energía;Ganancia de Energía
T13;Palanca de Brazo desde Montada;Sumision;Ofensiva;Pos(A:Montada_Superior, O:Montada_Inferior) | ModP(O:Empujando_Pecho);Estado(Sumisión:Palanca_de_Brazo);Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior);5;9;0
T14;Kimura desde Control Lateral;Sumision;Ofensiva;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Estado(Sumisión:Kimura);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);6;9;0
T15;Estrangulamiento D'Arce;Sumision;Ofensiva;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior) | ModL(O.Brazo:Underhook);Estado(Sumisión:D_Arce);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior) | ModP(O:Aplanado);5;9;0
T16;Mata León (Rear Naked Choke);Sumision;Ofensiva;Pos(A:Espalda_Control, O:Espalda_Controlado);Estado(Sumisión:Mata_León);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);4;9;0
T17;Escape de Upa (Puente y Giro);Escape;Defensiva;Pos(A:Montada_Inferior, O:Montada_Superior);Pos(A:Media_Guardia_Inferior, O:Media_Guardia_Superior);Pos(A:Montada_Inferior, O:Montada_Superior);4;2;9
T18;Fuga de Cadera (Shrimping);Escape;Defensiva;Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);3;3;8
T19;Recuperación de Guardia (Reguard);Escape;Defensiva;Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior);Pos(A:Norte_Sur_Inferior, O:Norte_Sur_Superior);5;2;8
T20;Escape de la Espalda;Escape;Defensiva;Pos(A:Espalda_Controlado, O:Espalda_Control);Pos(A:Guardia_de_Tortuga, O:Control_Tortuga);Pos(A:Espalda_Controlado, O:Espalda_Control);6;3;8
T21;Transición a Rodilla al Abdomen;Transicion;Neutra;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Rodilla_Abdomen_Superior, O:Rodilla_Abdomen_Inferior);Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);3;2;0
T22;Transición a la Montada;Transicion;Neutra;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Montada_Superior, O:Montada_Inferior);Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);4;3;0
T23;Toma de Espalda desde Tortuga;Transicion;Ofensiva;Pos(A:Control_Tortuga, O:Guardia_de_Tortuga);Pos(A:Espalda_Control, O:Espalda_Controlado);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);5;3;0
T24;Romper Postura en Guardia;Transicion;Defensiva;Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Erguido);Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Roto);Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior) | ModP(O:Erguido);4;3;9
T25;Ponerse de Pie en la Guardia;Transicion;Defensiva;Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior) | ModP(A:Roto);5;2;10
T26;Raspado de Gancho (Butterfly);Raspado;Defensiva;Pos(A:Guardia_Mariposa_Inferior, O:Guardia_Mariposa_Superior);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Guardia_Aplanada_Inferior, O:Guardia_Aplanada_Superior);4;2;7
T27;Raspado de De La Riva;Raspado;Defensiva;Pos(A:Guardia_DLR_Inferior, O:Guardia_DLR_Superior);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);5;2;8
T28;Llave de Talón (Heel Hook);Sumisión;Ofensiva;Pos(A:Ashi_Garami_Inferior, O:Ashi_Garami_Superior);Estado(Sumisión:Llave_de_Talón);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);6;9;0
T29;Pasaje de Doble Esgrima;Pase de Guardia;Ofensiva;Pos(A:Guardia_Mariposa_Superior, O:Guardia_Mariposa_Inferior);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Guardia_Mariposa_Superior, O:Guardia_Mariposa_Inferior);5;9;0
T30;Estrangulamiento de Arco y Flecha;Sumision;Ofensiva;Pos(A:Espalda_Control, O:Espalda_Controlado);Estado(Sumisión:Arco_y_Flecha);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);5;9;0
T31;Llamada a la Guardia (Guard Pull);Derribo;Defensiva;Pos(A:De_Pie, O:De_Pie);Pos(A:Guardia_Cerrada_Inferior, O:Guardia_Cerrada_Superior);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior) | ModP(A:Desestructurado);2;2;7
T32;Derribo a una Pierna;Derribo;Ofensiva;Pos(A:De_Pie, O:De_Pie);Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Pos(A:De_Pie, O:De_Pie) | Grip(A:Roto);4;6;0
T33;Pasaje de Arrastre de Pierna;Pase de Guardia;Ofensiva;Pos(A:Guardia_DLR_Superior, O:Guardia_DLR_Inferior);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);6;5;0
T34;Raspado de Péndulo;Raspado;Defensiva;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Pos(A:Montada_Superior, O:Montada_Inferior);Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);4;2;8
T35;Inversión desde Media Guardia;Raspado;Defensiva;Pos(A:Media_Guardia_Profunda_Inferior, O:Media_Guardia_Profunda_Superior);Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);5;3;8
T36;Defensa de Palanca de Brazo;Escape;Defensiva;Pos(A:Siendo_Atacado_Armbar, O:Atacando_Armbar);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Estado(Sumisión:Palanca_de_Brazo);4;5;8
T37;Escape de Rodilla al Abdomen;Escape;Defensiva;Pos(A:Rodilla_Abdomen_Inferior, O:Rodilla_Abdomen_Superior);Pos(A:Media_Guardia_Inferior, O:Media_Guardia_Superior);Pos(A:Rodilla_Abdomen_Inferior, O:Rodilla_Abdomen_Superior);3;5;8
T38;Ponerse de Pie desde Tortuga;Escape;Defensiva;Pos(A:Guardia_de_Tortuga, O:Control_Tortuga);Pos(A:De_Pie, O:De_Pie);Pos(A:Espalda_Controlado, O:Espalda_Control);5;5;9
T39;Rodar hacia la Guardia (desde Tortuga);Escape;Defensiva;Pos(A:Guardia_de_Tortuga, O:Control_Tortuga);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Pos(A:Control_Lateral_Inferior, O:Control_Lateral_Superior);4;5;9
T40;Escape de Piernas (Leg Pummeling);Escape;Defensiva;Pos(A:Ashi_Garami_Inferior, O:Ashi_Garami_Superior);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Pos(A:Ashi_Garami_Inferior, O:Ashi_Garami_Superior);5;5;9
T41;Transición a Norte-Sur;Transicion;Neutra;Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Norte_Sur_Superior, O:Norte_Sur_Inferior);Pos(A:Guardia_de_Tortuga, O:Control_Tortuga);3;5;9
T42;Transición a S-Mount;Transicion;Neutra;Pos(A:Montada_Superior, O:Montada_Inferior);Pos(A:S-Mount_Superior, O:S-Mount_Inferior);Pos(A:Montada_Superior, O:Montada_Inferior);4;6;0
T43;Toma de Espalda desde Montada;Transicion;Ofensiva;Pos(A:Montada_Superior, O:Montada_Inferior);Pos(A:Espalda_Control, O:Espalda_Controlado);Pos(A:Media_Guardia_Inferior, O:Media_Guardia_Superior);5;5;0
T44;Forzar Media Guardia;Transicion;Neutra;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);3;5;0
T45;Establecer Guardia De La Riva;Transicion;Defensiva;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Pos(A:Guardia_DLR_Inferior, O:Guardia_DLR_Superior);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);2;6;5
T46;Establecer Guardia de Mariposa;Transicion;Defensiva;Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);Pos(A:Guardia_Mariposa_Inferior, O:Guardia_Mariposa_Superior);Pos(A:Guardia_Abierta_Inferior, O:Guardia_Abierta_Superior);2;6;10
T47;Estrangulamiento Norte-Sur;Sumision;Ofensiva;Pos(A:Norte_Sur_Superior, O:Norte_Sur_Inferior);Estado(Sumisión:Norte_Sur);Pos(A:Norte_Sur_Superior, O:Norte_Sur_Inferior);5;9;0
T48;Pasaje por Encima (Over-Under);Pase de Guardia;Ofensiva;Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior);6;6;0
T49;Pasaje de Aplastamiento (Smash);Pase de Guardia;Ofensiva;Pos(A:Media_Guardia_Superior, O:Media_Guardia_Inferior);Pos(A:Control_Lateral_Superior, O:Control_Lateral_Inferior);Pos(A:Media_Guardia_Superior, O:Media_Guardia_Profunda_Inferior);7;7;0
T50;Recomponer Postura;Transicion;Defensiva;Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior) | ModP(A:Roto);Pos(A:Guardia_Abierta_Superior, O:Guardia_Abierta_Inferior);Pos(A:Guardia_Cerrada_Superior, O:Guardia_Cerrada_Inferior) | ModP(A:Roto);3;6;8
T51;Sumisión desde S-Mount;Sumision;Ofensiva;Pos(A:S-Mount_Superior, O:S-Mount_Inferior);Estado(Sumisión:Palanca_de_Brazo);Pos(A:Montada_Superior, O:Montada_Inferior);5;8;0
T52;Transición a Montada desde S-Mount;Transicion;Neutra;Pos(A:S-Mount_Superior, O:S-Mount_Inferior);Pos(A:Montada_Superior, O:Montada_Inferior);Pos(A:S-Mount_Superior, O:S-Mount_Inferior) | ModP(O:Desplazado);3;4;0
T53;Estrangulamiento desde S-Mount;Sumision;Ofensiva;Pos(A:S-Mount_Superior, O:S-Mount_Inferior) | Grip(A:Control_Cuello);Estado(Sumisión:Estrangulamiento);Pos(A:S-Mount_Superior, O:S-Mount_Inferior) | ModL(O:Defensa_Cuello);4;7;0
T54;Escapar de S-Mount;Escape;Defensiva;Pos(O:S-Mount_Inferior, A:S-Mount_Superior);Pos(A:Media_Guardia_Inferior, O:Media_Guardia_Superior);Pos(O:S-Mount_Inferior, A:S-Mount_Superior) | ModP(O:Aplastado);4;6;8
T55;Palanca desde Rodilla al Abdomen;Sumision;Ofensiva;Pos(A:Rodilla_Abdomen_Superior, O:Rodilla_Abdomen_Inferior) | ModP(O:Brazo_Extendido);Estado(Sumisión:Palanca_de_Brazo);Pos(A:Rodilla_Abdomen_Superior, O:Rodilla_Abdomen_Inferior);4;6;0
T56;Escape de Rodilla al Abdomen;Escape;Defensiva;Pos(O:Rodilla_Abdomen_Inferior, A:Rodilla_Abdomen_Superior);Pos(A:Media_Guardia_Inferior, O:Media_Guardia_Superior);Pos(O:Rodilla_Abdomen_Inferior, A:Rodilla_Abdomen_Superior);3;5;8
